City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
154,bhag,29.0415,67.8239,20.33,20,10,1.96,PK,1675830006
155,nanortalik,60.1432,-45.2371,-15.45,75,11,7.06,GL,1675829793
156,brae,60.3964,-1.353,6.8,73,100,13.47,GB,1675829746
157,las vegas,36.175,-115.1372,12.38,34,0,1.03,US,1675829523
158,mulchen,-37.7167,-72.2333,16.96,57,0,3.11,CL,1675830006
159,rocha,-34.4833,-54.3333,21.32,77,45,3.6,UY,1675829547
160,dunedin,-45.8742,170.5036,16.06,48,63,7.89,NZ,1675830007
161,nikolskoye,59.7035,30.7861,-1.06,86,100,4.34,RU,1675829743
162,portland,45.5234,-122.6762,7.66,88,0,2.68,US,1675829518
163,huilong,31.8111,121.655,8.85,64,96,5.83,CN,1675829880
164,saskylakh,71.9167,114.0833,-33.95,100,100,0.53,RU,1675829734
165,sangar,63.9242,127.4739,-37.04,93,100,1.29,RU,1675830007
166,xai-xai,-25.0519,33.6442,23.37,95,84,2.64,MZ,1675830008
167,dumas,35.8656,-101.9732,3.08,41,40,1.54,US,1675830008
168,sarankhola,22.3082,89.7897,27.68,42,0,3.17,BD,1675830008
169,ancud,-41.8697,-73.8203,12.96,95,2,1.9,CL,1675829842
170,khani,41.9563,42.9566,-2.24,97,100,1.06,GE,1675829916
171,tiksi,71.6872,128.8694,-37.26,99,98,2.7,RU,1675829771
172,sarny,51.338,26.6019,-7.32,95,6,1.19,UA,1675830009
173,torbay,47.6666,-52.7314,-2.56,85,75,11.32,CA,1675829803
174,jiutai,44.1525,125.8328,-3.81,61,3,4.47,CN,1675829887
175,asau,46.4333,26.4,-5.49,96,98,2.27,RO,1675829796
176,naliya,23.2667,68.8333,22.68,46,19,1.95,IN,1675829812
177,bengkulu,-3.8004,102.2655,29.4,55,74,3.85,ID,1675829750
178,oksfjord,70.2396,22.3479,4.1,73,49,6.61,NO,1675829797
179,ribeira grande,38.5167,-28.7,12.65,64,45,3.13,PT,1675830010
180,la ronge,55.1001,-105.2842,-1.86,46,0,4.12,CA,1675829801
181,marzuq,14.4,46.4667,17.99,46,18,2.39,YE,1675829892
182,lompoc,34.6391,-120.4579,10.85,87,75,4.47,US,1675829633
183,terenos,-20.4422,-54.8603,22.84,94,20,1.54,BR,1675830011
184,aswan,24.0934,32.907,9.1,46,26,4.13,EG,1675830011
185,bam,29.106,58.357,16.35,47,34,2.86,IR,1675830012
186,aklavik,68.2191,-135.0107,-28.96,96,100,3.53,CA,1675830012
187,mo i rana,66.3128,14.1428,5.26,65,100,2.57,NO,1675830012
188,broome,42.2506,-75.833,3.81,82,75,4.63,US,1675829880
189,langxiang,46.95,128.8833,-9.29,57,82,2.65,CN,1675830013
190,new norfolk,-42.7826,147.0587,19.39,39,5,0.89,AU,1675829750
191,dzyhivka,48.359,28.3158,-6.06,83,15,3.9,UA,1675830014
192,sorland,67.667,12.6934,6.92,85,100,22.62,NO,1675829826
193,neya,58.2972,43.8681,-10.42,95,100,3.51,RU,1675830014
194,merke,42.8728,73.1786,1.76,59,100,1.81,KZ,1675830015
195,talin,59.437,24.7535,2.98,90,100,6.17,EE,1675830016
196,taldan,53.6667,124.8,-15.77,62,26,4.17,RU,1675830016
197,muravlenko,63.7898,74.523,-24.11,99,90,4.66,RU,1675830017
198,bandarbeyla,9.4942,50.8122,25.23,71,99,5.85,SO,1675829690
199,panguipulli,-39.6333,-72.3333,13.41,72,0,1.16,CL,1675830018
200,comendador,18.8775,-71.7028,19.45,76,2,0.68,DO,1675829776
201,ahipara,-35.1667,173.1667,21.85,59,22,4.04,NZ,1675829805
202,sibut,5.718,19.0739,21.56,20,8,1.48,CF,1675830019
203,puro,12.4841,123.3827,28.01,67,100,5.39,PH,1675830019
204,krasnyy chikoy,50.3643,108.7512,-11.77,82,27,0.82,RU,1675830020
205,teyateyaneng,-29.1472,27.7489,15.46,88,100,1.42,LS,1675830020
206,tanout,14.9709,8.8879,16.95,23,85,5.15,NE,1675830021
207,katsuura,35.1333,140.3,10.21,68,97,8.39,JP,1675829854
208,krasnovishersk,60.4078,57.082,-15.14,96,100,3.1,RU,1675830021
209,caravelas,-17.7125,-39.2481,24.59,84,28,2.86,BR,1675829897
210,riyadh,24.6877,46.7219,12.08,42,19,2.3,SA,1675829814
211,kisangani,0.5167,25.2,23.28,67,100,1.11,CD,1675830022
212,huarmey,-10.0681,-78.1522,22.42,82,8,2.38,PE,1675829850
213,komsomolskiy,40.4272,71.7189,3.4,75,90,2.06,UZ,1675829839
214,thinadhoo,0.5333,72.9333,27.16,74,25,2.98,MV,1675829879
215,chikola,43.1906,43.9209,-8.53,95,100,0.78,RU,1675830023
